file_name,source_path,input_path,processed_path,prompt_path,page_number,asset_type,width,height,caption,prompt
_page_101_Picture_7.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/Output_Final/images/_page_101_Picture_7.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/input_images/_page_101_Picture_7.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/processed_images/_page_101_Picture_7.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/prompts/per_image/_page_101_Picture_7.txt,101,picture,489,347,"Рис. 13.2. Схематичне представлення проблеми теплопровідності: a — тепло тече всередину, якщо ви(0, t) < 0, і назовні, якщо ви(0, t) > 0; b — резервуар настільки глибокий, що гранична умова внизу не впливає на розв'язок при значеннях x.","Redesign this textbook illustration in a clean contemporary scientific style. Preserve the mathematical meaning, labels, geometry, and visual hierarchy. Keep the background pure white, linework crisp, and typography highly legible. Do not crop any content. Do not add decorative elements that change the educational meaning. If the source is a scanned physical sketch, convert it into a modern textbook illustration while preserving all annotations. Caption/context: Рис. 13.2. Схематичне представлення проблеми теплопровідності: a — тепло тече всередину, якщо ви(0, t) < 0, і назовні, якщо ви(0, t) > 0; b — резервуар настільки глибокий, що гранична умова внизу не впливає на розв'язок при значеннях x."
_page_102_Figure_7.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/Output_Final/images/_page_102_Figure_7.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/input_images/_page_102_Figure_7.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/processed_images/_page_102_Figure_7.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/prompts/per_image/_page_102_Figure_7.txt,102,figure,516,238,Рис. 13.3. Граф ймовірнісного інтеграла (eri) та його комплементарної функції (eric).,"Redesign this textbook illustration in a clean contemporary scientific style. Preserve the mathematical meaning, labels, geometry, and visual hierarchy. Keep the background pure white, linework crisp, and typography highly legible. Do not crop any content. Do not add decorative elements that change the educational meaning. Favor a vector-like diagram aesthetic suitable for a modern STEM textbook. Caption/context: Рис. 13.3. Граф ймовірнісного інтеграла (eri) та його комплементарної функції (eric)."
_page_103_Figure_7.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/Output_Final/images/_page_103_Figure_7.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/input_images/_page_103_Figure_7.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/processed_images/_page_103_Figure_7.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/prompts/per_image/_page_103_Figure_7.txt,103,figure,605,268,13.4. Температура всередині напівнескінченного середовища в різний час.,"Redesign this textbook illustration in a clean contemporary scientific style. Preserve the mathematical meaning, labels, geometry, and visual hierarchy. Keep the background pure white, linework crisp, and typography highly legible. Do not crop any content. Do not add decorative elements that change the educational meaning. Favor a vector-like diagram aesthetic suitable for a modern STEM textbook. Caption/context: 13.4. Температура всередині напівнескінченного середовища в різний час."
_page_104_Figure_9.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/Output_Final/images/_page_104_Figure_9.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/input_images/_page_104_Figure_9.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/processed_images/_page_104_Figure_9.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/prompts/per_image/_page_104_Figure_9.txt,104,figure,454,473,"ому випадку початкові рівняння, граничні та початкові умови перетворюються на нове диференціальне рівняння та нові граничні умови (див. діаграму вище).","Redesign this textbook illustration in a clean contemporary scientific style. Preserve the mathematical meaning, labels, geometry, and visual hierarchy. Keep the background pure white, linework crisp, and typography highly legible. Do not crop any content. Do not add decorative elements that change the educational meaning. Favor a vector-like diagram aesthetic suitable for a modern STEM textbook. Caption/context: ому випадку початкові рівняння, граничні та початкові умови перетворюються на нове диференціальне рівняння та нові граничні умови (див. діаграму вище)."
_page_10_Figure_9.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/Output_Final/images/_page_10_Figure_9.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/input_images/_page_10_Figure_9.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/processed_images/_page_10_Figure_9.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/prompts/per_image/_page_10_Figure_9.txt,10,figure,846,575,PHC 1.1. Діаграма класифікації диференціальних рівнянь у похідних похідних.,"Redesign this textbook illustration in a clean contemporary scientific style. Preserve the mathematical meaning, labels, geometry, and visual hierarchy. Keep the background pure white, linework crisp, and typography highly legible. Do not crop any content. Do not add decorative elements that change the educational meaning. Favor a vector-like diagram aesthetic suitable for a modern STEM textbook. Caption/context: PHC 1.1. Діаграма класифікації диференціальних рівнянь у похідних похідних."
_page_112_Picture_4.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/Output_Final/images/_page_112_Picture_4.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/input_images/_page_112_Picture_4.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/processed_images/_page_112_Picture_4.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/prompts/per_image/_page_112_Picture_4.txt,112,picture,430,217,"$\begin{array}{c} \vdots \\ \vdots \\ \vdots \\ \vdots \\ \vdots \\ \vdots \\ \vdots \\ \vdots \\ \vdots \\ u_i + Vu_x = 0 \\ (\textit{SpaBhenue nepenoca nep8ozo nops@ka}) \\ \vdots \\ u(x,0) = 0 \end{array}$ РИС. 15.1. Кількість речовини, що транспортується за одну секунду через поперечний розріз у точці x шляхом конвекції, дорівнює $Vu\left( v,\ t \right).$ РИС. 15.2. Проблема суто конвективного переносу.","Redesign this textbook illustration in a clean contemporary scientific style. Preserve the mathematical meaning, labels, geometry, and visual hierarchy. Keep the background pure white, linework crisp, and typography highly legible. Do not crop any content. Do not add decorative elements that change the educational meaning. If the source is a scanned physical sketch, convert it into a modern textbook illustration while preserving all annotations. Caption/context: $\begin{array}{c} \vdots \\ \vdots \\ \vdots \\ \vdots \\ \vdots \\ \vdots \\ \vdots \\ \vdots \\ \vdots \\ u_i + Vu_x = 0 \\ (\textit{SpaBhenue nepenoca nep8ozo nops@ka}) \\ \vdots \\ u(x,0) = 0 \end{array}$ РИС. 15.1. Кількість речовини, що транспортується за одну секунду через поперечний розріз у точці x шляхом конвекції, дорівнює $Vu\left( v,\ t \right).$ РИС. 15.2. Проблема суто конвективного переносу."
_page_114_Figure_4.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/Output_Final/images/_page_114_Figure_4.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/input_images/_page_114_Figure_4.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/processed_images/_page_114_Figure_4.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/prompts/per_image/_page_114_Figure_4.txt,114,figure,618,387,"Рис. 15.3 Конвективная волна a—передиції фронт примеси, $\delta$ —на одну единицу вперед волнового фронта","Redesign this textbook illustration in a clean contemporary scientific style. Preserve the mathematical meaning, labels, geometry, and visual hierarchy. Keep the background pure white, linework crisp, and typography highly legible. Do not crop any content. Do not add decorative elements that change the educational meaning. Favor a vector-like diagram aesthetic suitable for a modern STEM textbook. Caption/context: Рис. 15.3 Конвективная волна a—передиції фронт примеси, $\delta$ —на одну единицу вперед волнового фронта"
_page_114_Figure_7.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/Output_Final/images/_page_114_Figure_7.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/input_images/_page_114_Figure_7.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/processed_images/_page_114_Figure_7.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/prompts/per_image/_page_114_Figure_7.txt,114,figure,540,165,. 15 4 початкові умови в задаче конвективной диффузии.,"Redesign this textbook illustration in a clean contemporary scientific style. Preserve the mathematical meaning, labels, geometry, and visual hierarchy. Keep the background pure white, linework crisp, and typography highly legible. Do not crop any content. Do not add decorative elements that change the educational meaning. Favor a vector-like diagram aesthetic suitable for a modern STEM textbook. Caption/context: . 15 4 початкові умови в задаче конвективной диффузии."
_page_115_Picture_14.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/Output_Final/images/_page_115_Picture_14.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/input_images/_page_115_Picture_14.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/processed_images/_page_115_Picture_14.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/prompts/per_image/_page_115_Picture_14.txt,115,picture,312,292,"15.5 Диаграмма, иллюстрирующая функциональную зависимость переменных","Redesign this textbook illustration in a clean contemporary scientific style. Preserve the mathematical meaning, labels, geometry, and visual hierarchy. Keep the background pure white, linework crisp, and typography highly legible. Do not crop any content. Do not add decorative elements that change the educational meaning. If the source is a scanned physical sketch, convert it into a modern textbook illustration while preserving all annotations. Caption/context: 15.5 Диаграмма, иллюстрирующая функциональную зависимость переменных"
_page_117_Figure_3.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/Output_Final/images/_page_117_Figure_3.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/input_images/_page_117_Figure_3.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/processed_images/_page_117_Figure_3.jpeg,/Users/kalinicenkovitalijmikolajovic/.codex/worktrees/5c15/Script_for_translate_book/nanobanana_workspace/prompts/per_image/_page_117_Figure_3.txt,117,figure,633,203,,"Redesign this textbook illustration in a clean contemporary scientific style. Preserve the mathematical meaning, labels, geometry, and visual hierarchy. Keep the background pure white, linework crisp, and typography highly legible. Do not crop any content. Do not add decorative elements that change the educational meaning. Favor a vector-like diagram aesthetic suitable for a modern STEM textbook."
